geral; gerador; descriminador 
0.2020; 0.9350; 1.6272 
0.2376; 0.9349; 1.6168 
0.2534; 0.9354; 1.5909 
0.2423; 0.9368; 1.6151 
0.2380; 0.9365; 1.5731 
0.2414; 0.9367; 1.5446 
0.2556; 0.9360; 1.5520 
0.2755; 0.9385; 1.6088 
0.2840; 0.9389; 1.6017 
0.2841; 0.9392; 1.5849 
0.2830; 0.9383; 1.5733 
0.2761; 0.9377; 1.5857 
0.2791; 0.9374; 1.5846 
0.2871; 0.9381; 1.5918 
0.2841; 0.9383; 1.5982 
0.2840; 0.9374; 1.5917 
0.2805; 0.9375; 1.5777 
0.2705; 0.9370; 1.5750 
0.2671; 0.9369; 1.5631 
0.2726; 0.9364; 1.5596 
0.2766; 0.9353; 1.5541 
0.2719; 0.9353; 1.5495 
0.2676; 0.9351; 1.5494 
0.2683; 0.9345; 1.5540 
0.2667; 0.9336; 1.5493 
0.2601; 0.9349; 1.5343 
0.2597; 0.9345; 1.5261 
0.2578; 0.9350; 1.5216 
0.2594; 0.9341; 1.5304 
0.2544; 0.9338; 1.5272 
0.2548; 0.9341; 1.5271 
0.2534; 0.9344; 1.5199 
0.2535; 0.9345; 1.5168 
0.2532; 0.9335; 1.5182 
0.2532; 0.9332; 1.5221 
0.2517; 0.9327; 1.5180 
0.2516; 0.9332; 1.5176 
0.2540; 0.9341; 1.5104 
0.2531; 0.9338; 1.5070 
0.2525; 0.9334; 1.5024 
0.2558; 0.9329; 1.4969 
0.2545; 0.9328; 1.4950 
0.2562; 0.9331; 1.4910 
0.2522; 0.9314; 1.4946 
0.2537; 0.9305; 1.4987 
0.2531; 0.9310; 1.4902 
0.2535; 0.9313; 1.4868 
0.2521; 0.9319; 1.4850 
0.2990; 0.9315; 1.4877 
0.2915; 0.9308; 1.5717 
0.2566; 0.9302; 1.5011 
0.2404; 0.9294; 1.5266 
0.2238; 0.9289; 1.5265 
0.2119; 0.9294; 1.4540 
0.1999; 0.9303; 1.4845 
0.2204; 0.9309; 1.4665 
0.2260; 0.9309; 1.4716 
0.2147; 0.9307; 1.4384 
0.2227; 0.9310; 1.4620 
0.2151; 0.9308; 1.4550 
0.2252; 0.9303; 1.4437 
0.2160; 0.9296; 1.4201 
0.2182; 0.9291; 1.4271 
0.2215; 0.9284; 1.4239 
0.2278; 0.9287; 1.4279 
0.2200; 0.9285; 1.4434 
0.2239; 0.9279; 1.4637 
0.2317; 0.9276; 1.4624 
0.2330; 0.9273; 1.4580 
0.2359; 0.9270; 1.4639 
0.2356; 0.9272; 1.4611 
0.2350; 0.9271; 1.4550 
0.2377; 0.9269; 1.4505 
0.2414; 0.9270; 1.4462 
0.2517; 0.9264; 1.4415 
0.2468; 0.9274; 1.4434 
0.2430; 0.9267; 1.4581 
0.2426; 0.9276; 1.4624 
0.2498; 0.9275; 1.4665 
0.2508; 0.9264; 1.4588 
0.2523; 0.9273; 1.4614 
0.2510; 0.9273; 1.4651 
0.2519; 0.9275; 1.4688 
0.2508; 0.9270; 1.4699 
0.2546; 0.9271; 1.4747 
0.2568; 0.9271; 1.4679 
0.2544; 0.9270; 1.4660 
0.2558; 0.9265; 1.4700 
0.2558; 0.9264; 1.4667 
0.2528; 0.9265; 1.4667 
0.2525; 0.9268; 1.4704 
0.2557; 0.9270; 1.4648 
0.2557; 0.9267; 1.4680 
0.2536; 0.9272; 1.4663 
0.2518; 0.9272; 1.4681 
0.2528; 0.9278; 1.4691 
0.2523; 0.9270; 1.4727 
0.2479; 0.9300; 1.4738 
0.3574; 0.9295; 1.5334 
0.2606; 0.9290; 1.4849 
0.2472; 0.9288; 1.4438 
0.2170; 0.9294; 1.3781 
0.2431; 0.9289; 1.4217 
0.2298; 0.9284; 1.4910 
0.2406; 0.9283; 1.4416 
0.2383; 0.9276; 1.4844 
0.2410; 0.9279; 1.5177 
0.2436; 0.9282; 1.4934 
0.2394; 0.9283; 1.5019 
0.2446; 0.9280; 1.5197 
0.2394; 0.9283; 1.4983 
0.2378; 0.9280; 1.4965 
0.2414; 0.9275; 1.5031 
0.2446; 0.9280; 1.5006 
0.2432; 0.9291; 1.5116 
0.2343; 0.9300; 1.4836 
0.2311; 0.9295; 1.4773 
